Título,Año y Kms,Ubicación,Precio,Marca,Modelo,Subtipo,Recorrido,Climatización,Tracción,Color,Placa Número,Vidrios,Transmisión,Dirección,Motor,Tapizado,Combustible,Placa,Imagen URL
Baic X35,2024 26107 Kms.,Negociable,$ 14.900,Baic,X35,,,,,,,,,,,,,,
Renault LOGAN ZEN,2023 49834 Kms.,Negociable,$ 13.800,Renault,LOGAN ZEN,,,,,,,,,,,,,,
Baic X25,2019 100799 Kms.,Negociable,$ 10.900,Baic,X25,,,,,,,,,,,,,,
Renault LOGAN CROSS INTENS,2023 43039 Kms.,Negociable,$ 13.500,Renault,LOGAN CROSS INTENS,Sedán,43039 Kms,Aire Acondicionado,4 x 2,Plomo,0,Eléctricos,Automática,Hidráulica,1600,Corosil,Gasolina,Manabí,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2024612/1833329/o_o/pt_1833329_947982.png
Nissan QASHQAI ADVANCE,2018 83645 Kms.,Fijo,$ 21.900,Nissan,QASHQAI ADVANCE,,,,,,,,,,,,,,
Nissan Kicks,2022 52618 Kms.,Fijo,$ 19.900,Nissan,Kicks,Todoterreno,52618 Kms,Aire Acondicionado,4 x 2,Gris,2,Eléctricos,Manual,Hidráulica,16000,Tela,Gasolina,Manabí,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2024430/1823916/o_o/pt_1823916_1116362.png
Nissan X-Trail Epower Advance e-4ORCE EV,2023 7060 Kms.,Negociable,$ 37.400,Nissan,X-Trail Epower Advance e-4ORCE EV,,,,,,,,,,,,,,
Nissan QASHQAI ADVANCE,2019 85220 Kms.,Fijo,$ 19.900,Nissan,QASHQAI ADVANCE,,,,,,,,,,,,,,
Renault captur,2020 41327 Kms.,Fijo,$ 16.900,Renault,captur,Todoterreno Ligero,41327 Kms,Aire Acondicionado,4 x 2,Rojo,8,Eléctricos,Manual,Hidráulica,2.0,Tela,Gasolina,Manabí,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2024427/1823404/o_o/pt_1823404_4784915.png
Renault DUSTER INTENS,2023 22072 Kms.,Negociable,$ 19.600,Renault,DUSTER INTENS,,,,,,,,,,,,,,
Honda WR-V,2019 58875 Kms.,Fijo,$ 15.000,Honda,WR-V,Todoterreno,58875 Kms,Aire Acondicionado,4 x 2,Blanco,1,Eléctricos,Manual,Hidráulica,1500,Tela,Gasolina,Guayas,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2024423/1822515/o_o/pt_1822515_9269236.png
Ford Ecosport,2020 67100 Kms.,Fijo,$ 16.700,Ford,Ecosport,Todoterreno,67100 Kms,Aire Acondicionado,4 x 2,Plata,9,Eléctricos,Manual,Electrónica,1500,Cuero,Gasolina,Guayas,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2024423/1822511/o_o/pt_1822511_651709.png
Nissan Versa,2024 2852 Kms.,Negociable,$ 19.900,Nissan,Versa,,,,,,,,,,,,,,
Nissan X-Trail Epower Advance e-4ORCE EV,2023 3860 Kms.,Negociable,$ 37.400,Nissan,X-Trail Epower Advance e-4ORCE EV,,,,,,,,,,,,,,
Nissan Qashqai sense,2015 71224 Kms.,Fijo,$ 15.900,Nissan,Qashqai sense,Todoterreno Ligero,71224 Kms,Aire Acondicionado,4 x 2,Gris,0,Manuales,Manual,Hidráulica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/862023/1751201/o_o/pt_1751201_3408744.png
2017 · Kia SPORTAGE R GTI,2017125655 Kms · Quito,Negociable,$ 18.470,Kia,SPORTAGE R GTI,Todoterreno,125655 Kms,Aire Acondicionado,4 x 2,Plata,2,Eléctricos,Automática,Asistida,2000,Cuero,Gasolina,Guayas,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2024115/1863293/o_o/pt_1863293_4956441.jpeg
2019 · Kia Sportage R,201990000 Kms · Quito,Negociable,$ 18.500,Kia,Sportage R,Todoterreno,90000 Kms,Aire Acondicionado,4 x 2,Azul,0,Eléctricos,Manual,Hidráulica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2662023/1755311/o_o/pt_1755311_12021255.jpg
Nissan Qashqai sense,2015 71224 Kms.,Fijo,$ 15.900,Nissan,Qashqai sense,Todoterreno Ligero,71224 Kms,Aire Acondicionado,4 x 2,Gris,0,Manuales,Manual,Hidráulica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/862023/1751201/o_o/pt_1751201_3408744.png
Peugeot 2008,2019 71748 Kms.,Fijo,$ 13.500,Peugeot,2008,Crossover,71748 Kms,Aire Acondicionado,4 x 2,Negro,8,Eléctricos,Automática,Hidráulica,1600,Tela,Gasolina,Guayas,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/1342023/1738316/o_o/pt_1738316_8969995.png
Nissan Versa,2024 6539 Kms.,Negociable,$ 19.900,Nissan,Versa,,,,,,,,,,,,,,
Renault Duster Intens 1.3,2023 13782 Kms.,Negociable,$ 20.990,Renault,Duster Intens 1.3,,,,,,,,,,,,,,
Baic X25,2019 104413 Kms.,Negociable,$ 10.500,Baic,X25,,,,,,,,,,,,,,
Nissan Versa,2024 2309 Kms.,Negociable,$ 19.900,Nissan,Versa,,,,,,,,,,,,,,
Nissan X-Trail Epower Advance e-4ORCE EV,2023 7546 Kms.,Negociable,$ 37.400,Nissan,X-Trail Epower Advance e-4ORCE EV,,,,,,,,,,,,,,
Ford F150,2016 0 Kms.,Fijo,$ 28.900,Ford,F150,Camioneta Doble Cabina,82000 Millas,Aire Acondicionado,4 x 2,Blanco,4,Eléctricos,Automática,Electrónica,3500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877314/o_o/pt_1877314_6833705.jpg
Renault Duster Intens 1.3,2023 79003 Kms.,Negociable,$ 16.900,Renault,Duster Intens 1.3,,,,,,,,,,,,,,
Renault Duster Intens 1.3,2023 81222 Kms.,Negociable,$ 16.900,Renault,Duster Intens 1.3,,,,,,,,,,,,,,
Renault Duster Intens 1.3,2023 73832 Kms.,Negociable,$ 16.900,Renault,Duster Intens 1.3,,,,,,,,,,,,,,
Renault Duster Intens 1.3,2023 75836 Kms.,Negociable,$ 16.900,Renault,Duster Intens 1.3,,,,,,,,,,,,,,
Nissan Versa,2018 102253 Kms.,Negociable,$ 12.200,Nissan,Versa,,,,,,,,,,,,,,
Nissan X-Trail Epower Advance e-4ORCE EV,2023 8351 Kms.,Negociable,$ 37.400,Nissan,X-Trail Epower Advance e-4ORCE EV,,,,,,,,,,,,,,
Jeep Compass,2021 26500 Kms.,Negociable,$ 26.900,Jeep,Compass,Todoterreno,26500 Kms,Aire Acondicionado,4 x 2,Rojo,4,Eléctricos,Automática,Hidráulica,2400,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/642023/1736745/o_o/pt_1736745_5048953.png
Renault Duster Intens 1.3,2023 84377 Kms.,Negociable,$ 16.900,Renault,Duster Intens 1.3,,,,,,,,,,,,,,
Renault Duster Intens 1.3,2023 79834 Kms.,Negociable,$ 16.900,Renault,Duster Intens 1.3,,,,,,,,,,,,,,
Fiat 500 LOUNGE,2017 106000 Kms.,Negociable,$ 11.900,Fiat,500 LOUNGE,,,,,,,,,,,,,,
Foton TUNLAND G,2022 45490 Kms.,Negociable,$ 19.900,Foton,TUNLAND G,,,,,,,,,,,,,,
Nissan X-Trail Epower Advance e-4ORCE EV,2023 13208 Kms.,Negociable,$ 37.900,Nissan,X-Trail Epower Advance e-4ORCE EV,,,,,,,,,,,,,,
Nissan Qashqai exclusive,2018 89000 Kms.,Negociable,$ 20.900,Nissan,Qashqai exclusive,Todoterreno,89000 Kms,Aire Acondicionado,4 x 4,Blanco,5,Eléctricos,CVT,Hidráulica,2000,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2162023/1754336/o_o/pt_1754336_2854466.png
Renault Duster Intens 1.3,2023 81102 Kms.,Negociable,$ 16.900,Renault,Duster Intens 1.3,,,,,,,,,,,,,,
Nissan Versa,2024 4405 Kms.,Negociable,$ 19.900,Nissan,Versa,,,,,,,,,,,,,,
Renault Duster Intens 1.3,2023 81896 Kms.,Negociable,$ 16.900,Renault,Duster Intens 1.3,,,,,,,,,,,,,,
Renault Duster Intens 1.3,2023 79711 Kms.,Negociable,$ 16.900,Renault,Duster Intens 1.3,,,,,,,,,,,,,,
Ford F150,2020 0 Kms.,Negociable,$ 38.900,Ford,F150,Camioneta Doble Cabina,77000 Millas,Aire Acondicionado,4 x 4,Negro,4,Eléctricos,Automática,Electrónica,3300,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877313/o_o/pt_1877313_6640526.jpg
Mitsubishi Outlander Sport,2019 14484 Kms.,Negociable,$ 19.900,Mitsubishi,Outlander Sport,,,,,,,,,,,,,,
Chevrolet JOY BLACK,2023 34000 Kms.,Negociable,$ 11.700,Chevrolet,JOY BLACK,,,,,,,,,,,,,,
BMW 320i,2018 69000 Kms.,Negociable,$ 29.900,BMW,320i,,,,,,,,,,,,,,
Mercedes Benz C300,2017 70000 Mi.,Fijo,$ 45.000,Mercedes Benz,C300,Sedán,70000 Millas,Climatizador Bi-Zona,4 x 2,Blanco,4,Eléctricos,9G-Tronic,Electrónica,2000,Cuero,Gasolina,Imbabura,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/1482024/1846852/o_o/1846852_1723664867110_677.jpeg
BMW X5 XDRIVE 40i,2018 78000 Kms.,Fijo,$ 58.900,BMW,X5 XDRIVE 40i,,,,,,,,,,,,,,
Nissan Versa,2021 83000 Kms.,Negociable,$ 15.900,Nissan,Versa,Sedán,83000 Kms,Aire Acondicionado,4 x 2,Plata,5,Eléctricos,Manual,Electrónica,1600,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2312025/1877108/o_o/1877108_1737634522303_521.jpg
Mazda CX7,2011 172000 Kms.,Negociable,$ 11.400,Mazda,CX7,Todoterreno,172000 Kms,Aire Acondicionado,4 x 2,Blanco,2,Eléctricos,Tiptronic,Hidráulica,2500,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2312025/1877107/o_o/1877107_1737634166625_798.jpg
Suzuki SCROSS BOOSTERJET GL,2024 12000 Kms.,Negociable,$ 23.900,Suzuki,SCROSS BOOSTERJET GL,SUV,12000 Kms,Climatizador Bi-Zona,4 x 2,Vino,8,Eléctricos,Tiptronic,Electrónica,1400,Corosil,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2312025/1877106/o_o/1877106_1737633401085_828.jpg
Volkswagen GOL 1.6,2014 111000 Kms.,Negociable,$ 11.400,Volkswagen,GOL 1.6,Hatchback (5 Puertas),111000 Kms,Aire Acondicionado,4 x 2,Negro,0,Eléctricos,Manual,Hidráulica,16,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2212025/1876992/o_o/1876992_1737577728897_293.jpeg
